Successfully loaded labels from /home/yonis/histogenomics-msc-2019/yoni-code/MsiPrediction/metadata/tcga/brca_dx/data_tcga_brca_dxwith_ddr_labels_and_splits.csv, it has 4026308 files.
We use a train split of fold 1 of 2200481 files.
Successfully loaded labels from /home/yonis/histogenomics-msc-2019/yoni-code/MsiPrediction/metadata/tcga/brca_dx/data_tcga_brca_dxwith_ddr_labels_and_splits.csv, it has 4026308 files.
We use a val split of fold 1 of 490680 files.
Successfully loaded labels from /home/yonis/histogenomics-msc-2019/yoni-code/MsiPrediction/metadata/tcga/brca_dx/data_tcga_brca_dxwith_ddr_labels_and_splits.csv, it has 4026308 files.
We use a test split of fold 1 of 947582 files.
[2020-09-11 12:53:36.720394 | Step 0 / 17192]
[2020-09-11 13:20:26.789836 | Step 249 / 17192]
[2020-09-11 13:20:30.798015 | Step 250 / 17192]
[2020-09-11 13:20:34.275489 | Step 251 / 17192]
[2020-09-11 13:20:56.284486 | Step 252 / 17192]
[2020-09-11 13:20:59.780473 | Step 253 / 17192]
[2020-09-11 13:21:03.417131 | Step 254 / 17192]
[2020-09-11 13:21:07.158649 | Step 255 / 17192]
[2020-09-11 13:21:10.674398 | Step 256 / 17192]
[2020-09-11 13:21:14.312338 | Step 257 / 17192]
[2020-09-11 13:21:36.590594 | Step 258 / 17192]
[2020-09-11 13:21:40.327725 | Step 259 / 17192]
[2020-09-11 13:21:44.046548 | Step 260 / 17192]
[2020-09-11 13:21:47.676563 | Step 261 / 17192]
[2020-09-11 13:21:51.364613 | Step 262 / 17192]
[2020-09-11 13:21:54.889476 | Step 263 / 17192]
[2020-09-11 13:22:16.618259 | Step 264 / 17192]
[2020-09-11 13:22:20.119919 | Step 265 / 17192]
[2020-09-11 13:22:23.516900 | Step 266 / 17192]
[2020-09-11 13:22:27.444126 | Step 267 / 17192]
[2020-09-11 13:22:31.311042 | Step 268 / 17192]
[2020-09-11 13:22:34.795608 | Step 269 / 17192]
[2020-09-11 13:22:55.900308 | Step 270 / 17192]
[2020-09-11 13:22:59.279976 | Step 271 / 17192]
[2020-09-11 13:23:02.785016 | Step 272 / 17192]
[2020-09-11 13:23:06.673738 | Step 273 / 17192]
[2020-09-11 13:23:10.207646 | Step 274 / 17192]
[2020-09-11 13:23:13.756114 | Step 275 / 17192]
[2020-09-11 13:23:32.825033 | Step 276 / 17192]
[2020-09-11 13:23:36.237660 | Step 277 / 17192]
[2020-09-11 13:23:39.777242 | Step 278 / 17192]
[2020-09-11 13:23:43.334203 | Step 279 / 17192]
[2020-09-11 13:23:48.267345 | Step 280 / 17192]
[2020-09-11 13:23:51.882569 | Step 281 / 17192]
[2020-09-11 13:24:12.039435 | Step 282 / 17192]
[2020-09-11 13:24:15.783636 | Step 283 / 17192]
[2020-09-11 13:24:19.324201 | Step 284 / 17192]
[2020-09-11 13:24:23.004861 | Step 285 / 17192]
[2020-09-11 13:24:26.473241 | Step 286 / 17192]
[2020-09-11 13:24:31.010433 | Step 287 / 17192]
[2020-09-11 13:24:50.698031 | Step 288 / 17192]
[2020-09-11 13:24:54.004072 | Step 289 / 17192]
[2020-09-11 13:24:57.693905 | Step 290 / 17192]
[2020-09-11 13:25:01.110320 | Step 291 / 17192]
[2020-09-11 13:25:04.791897 | Step 292 / 17192]
[2020-09-11 13:25:08.453221 | Step 293 / 17192]
[2020-09-11 13:25:29.773771 | Step 294 / 17192]
[2020-09-11 13:25:33.416784 | Step 295 / 17192]
[2020-09-11 13:25:36.974907 | Step 296 / 17192]
[2020-09-11 13:25:40.937333 | Step 297 / 17192]
[2020-09-11 13:25:44.797512 | Step 298 / 17192]
[2020-09-11 13:25:49.418351 | Step 299 / 17192]
[2020-09-11 13:26:10.982445 | Step 300 / 17192]
[2020-09-11 13:26:14.768984 | Step 301 / 17192]
[2020-09-11 13:26:18.792649 | Step 302 / 17192]
[2020-09-11 13:26:22.604089 | Step 303 / 17192]
[2020-09-11 13:26:26.439775 | Step 304 / 17192]
[2020-09-11 13:26:30.293185 | Step 305 / 17192]
[2020-09-11 13:26:51.966334 | Step 306 / 17192]
[2020-09-11 13:26:55.828212 | Step 307 / 17192]
[2020-09-11 13:26:59.516625 | Step 308 / 17192]
[2020-09-11 13:27:03.463667 | Step 309 / 17192]
[2020-09-11 13:27:08.374053 | Step 310 / 17192]
[2020-09-11 13:27:12.466470 | Step 311 / 17192]
[2020-09-11 13:27:32.945577 | Step 312 / 17192]
[2020-09-11 13:27:36.730084 | Step 313 / 17192]
[2020-09-11 13:27:40.937583 | Step 314 / 17192]
[2020-09-11 13:27:44.908820 | Step 315 / 17192]
[2020-09-11 13:27:48.877759 | Step 316 / 17192]
[2020-09-11 13:27:52.830605 | Step 317 / 17192]
[2020-09-11 13:28:14.109515 | Step 318 / 17192]
[2020-09-11 13:28:18.058568 | Step 319 / 17192]
[2020-09-11 13:28:21.997994 | Step 320 / 17192]
[2020-09-11 13:28:25.946698 | Step 321 / 17192]
[2020-09-11 13:28:29.917553 | Step 322 / 17192]
[2020-09-11 13:28:33.738374 | Step 323 / 17192]
[2020-09-11 13:28:55.013413 | Step 324 / 17192]
[2020-09-11 13:28:58.817603 | Step 325 / 17192]
[2020-09-11 13:29:02.730525 | Step 326 / 17192]
[2020-09-11 13:29:07.176956 | Step 327 / 17192]
[2020-09-11 13:29:10.907080 | Step 328 / 17192]
[2020-09-11 13:29:14.696929 | Step 329 / 17192]
[2020-09-11 13:29:35.148820 | Step 330 / 17192]
[2020-09-11 13:29:39.152716 | Step 331 / 17192]
[2020-09-11 13:29:42.719558 | Step 332 / 17192]
[2020-09-11 13:29:46.414602 | Step 333 / 17192]
[2020-09-11 13:29:50.692736 | Step 334 / 17192]
[2020-09-11 13:29:54.696553 | Step 335 / 17192]
[2020-09-11 13:30:15.247977 | Step 336 / 17192]
[2020-09-11 13:30:18.970269 | Step 337 / 17192]
[2020-09-11 13:30:22.668378 | Step 338 / 17192]
[2020-09-11 13:30:26.685434 | Step 339 / 17192]
[2020-09-11 13:30:30.497521 | Step 340 / 17192]
[2020-09-11 13:30:34.522229 | Step 341 / 17192]
[2020-09-11 13:30:54.979996 | Step 342 / 17192]
[2020-09-11 13:30:58.751992 | Step 343 / 17192]
[2020-09-11 13:31:02.422218 | Step 344 / 17192]
[2020-09-11 13:31:06.290905 | Step 345 / 17192]
[2020-09-11 13:31:09.841419 | Step 346 / 17192]
[2020-09-11 13:31:13.275265 | Step 347 / 17192]
[2020-09-11 13:31:32.622528 | Step 348 / 17192]
[2020-09-11 13:31:36.071748 | Step 349 / 17192]
[2020-09-11 13:31:39.438373 | Step 350 / 17192]
[2020-09-11 13:31:43.166908 | Step 351 / 17192]
[2020-09-11 13:31:46.596882 | Step 352 / 17192]
[2020-09-11 13:31:50.051292 | Step 353 / 17192]
[2020-09-11 13:32:11.728897 | Step 354 / 17192]
[2020-09-11 13:32:15.136009 | Step 355 / 17192]
[2020-09-11 13:32:18.766179 | Step 356 / 17192]
[2020-09-11 13:32:22.953536 | Step 357 / 17192]
[2020-09-11 13:32:26.757130 | Step 358 / 17192]
[2020-09-11 13:32:30.606505 | Step 359 / 17192]
[2020-09-11 13:32:51.947850 | Step 360 / 17192]
[2020-09-11 13:32:55.916244 | Step 361 / 17192]
[2020-09-11 13:32:59.712368 | Step 362 / 17192]
[2020-09-11 13:33:03.411895 | Step 363 / 17192]
[2020-09-11 13:33:07.249130 | Step 364 / 17192]
[2020-09-11 13:33:11.045037 | Step 365 / 17192]
[2020-09-11 13:33:32.345246 | Step 366 / 17192]
[2020-09-11 13:33:35.942860 | Step 367 / 17192]
[2020-09-11 13:33:39.378663 | Step 368 / 17192]
[2020-09-11 13:33:43.074232 | Step 369 / 17192]
[2020-09-11 13:33:46.833243 | Step 370 / 17192]
[2020-09-11 13:33:50.611222 | Step 371 / 17192]
[2020-09-11 13:34:11.067674 | Step 372 / 17192]
[2020-09-11 13:34:14.551058 | Step 373 / 17192]
[2020-09-11 13:34:18.090157 | Step 374 / 17192]
[2020-09-11 13:34:21.451517 | Step 375 / 17192]
[2020-09-11 13:34:24.743341 | Step 376 / 17192]
[2020-09-11 13:34:28.154781 | Step 377 / 17192]
[2020-09-11 13:34:47.315842 | Step 378 / 17192]
[2020-09-11 13:34:50.572263 | Step 379 / 17192]
[2020-09-11 13:34:53.903802 | Step 380 / 17192]
[2020-09-11 13:34:57.279480 | Step 381 / 17192]
[2020-09-11 13:35:00.671845 | Step 382 / 17192]
[2020-09-11 13:35:04.480804 | Step 383 / 17192]
[2020-09-11 13:35:26.054126 | Step 384 / 17192]
[2020-09-11 13:35:29.894776 | Step 385 / 17192]
[2020-09-11 13:35:33.203029 | Step 386 / 17192]
[2020-09-11 13:35:36.653118 | Step 387 / 17192]
[2020-09-11 13:35:40.129819 | Step 388 / 17192]
[2020-09-11 13:35:43.540017 | Step 389 / 17192]
[2020-09-11 13:36:05.549367 | Step 390 / 17192]
[2020-09-11 13:36:08.856695 | Step 391 / 17192]
[2020-09-11 13:36:12.372230 | Step 392 / 17192]
[2020-09-11 13:36:15.999728 | Step 393 / 17192]
[2020-09-11 13:36:19.579698 | Step 394 / 17192]
[2020-09-11 13:36:23.400484 | Step 395 / 17192]
[2020-09-11 13:36:44.257586 | Step 396 / 17192]
[2020-09-11 13:36:47.753497 | Step 397 / 17192]
[2020-09-11 13:36:51.417136 | Step 398 / 17192]
[2020-09-11 13:36:54.975455 | Step 399 / 17192]
[2020-09-11 13:36:58.471502 | Step 400 / 17192]
[2020-09-11 13:37:02.159299 | Step 401 / 17192]
[2020-09-11 13:37:24.250899 | Step 402 / 17192]
[2020-09-11 13:37:27.726514 | Step 403 / 17192]
[2020-09-11 13:37:31.158725 | Step 404 / 17192]
[2020-09-11 13:37:34.564524 | Step 405 / 17192]
[2020-09-11 13:37:38.234931 | Step 406 / 17192]
[2020-09-11 13:37:41.925372 | Step 407 / 17192]
[2020-09-11 13:38:05.447096 | Step 408 / 17192]
[2020-09-11 13:38:09.093385 | Step 409 / 17192]
[2020-09-11 13:38:12.700882 | Step 410 / 17192]
[2020-09-11 13:38:16.325900 | Step 411 / 17192]
[2020-09-11 13:38:19.948610 | Step 412 / 17192]
[2020-09-11 13:38:23.584320 | Step 413 / 17192]
[2020-09-11 13:38:44.725888 | Step 414 / 17192]
[2020-09-11 13:38:48.197028 | Step 415 / 17192]
[2020-09-11 13:38:51.938446 | Step 416 / 17192]
[2020-09-11 13:38:55.273063 | Step 417 / 17192]
[2020-09-11 13:38:58.909144 | Step 418 / 17192]
[2020-09-11 13:39:02.612034 | Step 419 / 17192]
[2020-09-11 13:39:23.809325 | Step 420 / 17192]
[2020-09-11 13:39:26.986315 | Step 421 / 17192]
[2020-09-11 13:39:30.359613 | Step 422 / 17192]
[2020-09-11 13:39:33.831146 | Step 423 / 17192]
[2020-09-11 13:39:37.417291 | Step 424 / 17192]
[2020-09-11 13:39:41.023712 | Step 425 / 17192]
[2020-09-11 13:40:02.017301 | Step 426 / 17192]
[2020-09-11 13:40:05.330101 | Step 427 / 17192]
[2020-09-11 13:40:08.509917 | Step 428 / 17192]
[2020-09-11 13:40:11.742891 | Step 429 / 17192]
[2020-09-11 13:40:15.565901 | Step 430 / 17192]
[2020-09-11 13:40:19.119936 | Step 431 / 17192]
[2020-09-11 13:40:42.530897 | Step 432 / 17192]
[2020-09-11 13:40:46.208197 | Step 433 / 17192]
[2020-09-11 13:40:49.708867 | Step 434 / 17192]
[2020-09-11 13:40:53.399630 | Step 435 / 17192]
[2020-09-11 13:40:57.158500 | Step 436 / 17192]
[2020-09-11 13:41:00.703583 | Step 437 / 17192]
